noun,semantic role,gpt3-davinci_acc,gpt3-davinci_avg_LL_delta,gpt3-babbage_acc,gpt3-babbage_avg_LL_delta,text-davinci-001_acc,text-davinci-001_avg_LL_delta,bloom-1b1_acc,bloom-1b1_avg_LL_delta,bloom-3b_acc,bloom-3b_avg_LL_delta,gpt2-x_acc,gpt2-x_avg_LL_delta,bloom-560m_acc,bloom-560m_avg_LL_delta,gpt3-ada_acc,gpt3-ada_avg_LL_delta,gpt3-curie_acc,gpt3-curie_avg_LL_delta,text-davinci-003_acc,text-davinci-003_avg_LL_delta,gpt2-medium_acc,gpt2-medium_avg_LL_delta,gpt2-xl_acc,gpt2-xl_avg_LL_delta,bloom-1b7_acc,bloom-1b7_avg_LL_delta,text-ada-001_acc,text-ada-001_avg_LL_delta,gpt2-large_acc,gpt2-large_avg_LL_delta,text-curie-001_acc,text-curie-001_avg_LL_delta,text-babbage-001_acc,text-babbage-001_avg_LL_delta,bloom-7b1_acc,bloom-7b1_avg_LL_delta
barber,agent,0.5714285714285714,-0.1030849942857143,0.0,-1.6579758314285713,1.0,9.338817305771428,0.0,-0.571533203125,0.0,-1.5802699497767858,1.0,0.4215490903173174,0.0,-1.0713239397321428,0.0,-3.5250786742857136,0.0,-0.8720488114285715,1.0,15.05292738945714,0.0,-0.5981183648109436,0.0,-1.5925373286008837,0.8571428571428571,0.0892857142857142,0.7142857142857143,1.3698211014285715,0.8571428571428571,0.7421790446553912,0.0,-2.4440826194285714,0.0,-3.653182829857143,0.8571428571428571,0.3593401227678571
basket,patient,1.0,-2.24386351,1.0,-2.8667972275,0.0,1.0036801,1.0,-0.1953125,1.0,-2.39813232421875,0.0,0.8146781623363495,1.0,-1.74993896484375,1.0,-5.7562562455,1.0,-1.1214771250000002,1.0,-10.366742250615,1.0,-2.3010940626263614,1.0,-3.023447969928384,1.0,-0.9998779296875,1.0,-5.4491257165,1.0,-1.387279003858566,1.0,-2.913211925,1.0,-2.5847448,0.0,0.3203125
beard,patient,1.0,-1.78329514,1.0,-2.338971328,0.0,4.608746995333333,1.0,-0.1875,1.0,-1.8226318359375,1.0,-0.578582763671875,1.0,-1.083251953125,1.0,-5.263947782333333,1.0,-1.0141073033333334,1.0,-16.719552782000004,1.0,-2.025960286458333,1.0,-2.4334710712234178,1.0,-0.5935872395833334,1.0,-2.359363782666667,0.6666666666666666,-0.1143875122070312,1.0,-3.162127213666667,1.0,-3.7311224406666663,0.0,0.1614583333333333
bedding,patient,1.0,-2.002790256,1.0,-2.16710312,0.4,0.839321108,0.6,-0.090625,1.0,-1.93447265625,0.0,1.85890731215477,1.0,-1.05,1.0,-4.1351517336,1.0,-1.337246254,1.0,-17.49986120474,1.0,-1.081097400188446,1.0,-2.113796764612198,1.0,-0.412548828125,0.8,-0.5728183600000001,0.0,0.8467807829380035,1.0,-3.5283693788,1.0,-1.230128872,0.6,-0.10625
bike,patient,1.0,-1.8965759575,1.0,-2.2374801627500003,0.25,0.2561867475,0.0,0.125,1.0,-2.2966766357421875,1.0,-0.2408313751220702,1.0,-0.68743896484375,1.0,-4.7438639965,1.0,-0.8310341750000001,1.0,-13.12675770817,1.0,-2.702140836045146,1.0,-1.8006672486662867,1.0,-0.4453125,0.5,-0.31146027,0.5,-0.0055506229400634,1.0,-3.7575879555,1.0,-2.382783688,0.25,0.1796875
blanket,patient,1.0,-2.10388297,1.0,-2.866734265,0.5,-0.4921210649999999,1.0,-0.234375,1.0,-2.03204345703125,0.0,1.4921264499425888,1.0,-1.25,1.0,-4.1989688935,1.0,-1.41688023,1.0,-17.9694384748,1.0,-1.5098266750574112,1.0,-2.2718076147139072,1.0,-0.7344970703125,1.0,-4.87330361525,1.0,-0.7719864845275878,1.0,-4.3416829295,1.0,-1.9008111075,0.0,0.234375
blogger,agent,0.5,-0.1447079,0.0,-1.8614969,1.0,8.60065102055,1.0,0.421875,0.0,-1.1796875,1.0,1.4044113457202916,0.0,-0.874755859375,0.0,-2.77241593,0.0,-0.8093871850000001,1.0,15.2347016492,0.0,-1.1945037841796875,0.0,-1.4833240285515783,1.0,0.609130859375,0.0,-3.0175318100000004,1.0,0.3659801483154297,0.0,-2.6706570075,0.0,-3.7991504465,1.0,0.8206787109375
board,patient,1.0,-0.96374966,1.0,-1.8730837625,0.0,5.348241775750001,1.0,-0.16015625,1.0,-2.378997802734375,1.0,-0.6609268188476562,1.0,-1.06231689453125,1.0,-4.6958415145,1.0,-1.2042222625,0.25,3.612948591375,1.0,-1.7999458350241184,1.0,-2.0623121205717325,1.0,-0.92950439453125,0.75,-1.8583165982500005,0.75,-0.2260294109582901,1.0,-2.582527658,1.0,-3.07407471175,0.25,0.10546875
book,patient,1.0,-1.8290161366666664,1.0,-1.7840168966666667,0.0,3.636830368,0.0,0.4009602864583333,1.0,-2.1195475260416665,0.0,0.8835500081380209,1.0,-1.333251953125,1.0,-3.491080428333333,1.0,-0.55077741,1.0,-16.00691571315,1.0,-0.5679575204849243,1.0,-1.4535468518733978,1.0,-0.3541666666666667,1.0,-2.163058496666667,0.0,1.5314248204231262,1.0,-2.7461684086666662,1.0,-0.6652679066666667,0.0,0.296875
bottle,patient,1.0,-1.78746338,1.0,-2.588402575,0.0,0.8755655849999999,0.0,0.1015625,1.0,-1.79656982421875,0.0,1.1824378669261932,1.0,-1.000244140625,1.0,-4.1573906915,1.0,-0.995758095,1.0,-17.377103518425,1.0,-2.1049346774816518,1.0,-2.324416723102331,1.0,-0.9691162109375,0.5,-0.62106788,0.0,0.2290711402893065,1.0,-2.903022012,1.0,-1.51228434,0.0,0.4140625
bowl,patient,1.0,-2.07735699,1.0,-2.905964532,0.5,-0.383980985,1.0,-0.1484375,1.0,-2.304656982421875,0.0,1.319110870361328,1.0,-1.2503662109375,1.0,-4.509214427,1.0,-1.1900138649999998,1.0,-16.268518106450003,1.0,-2.5645065009593964,1.0,-2.7669076956808567,1.0,-1.0465087890625,0.5,-0.5240506,1.0,-0.6000909954309464,1.0,-3.403518709,1.0,-1.318184835,0.0,0.3203125
bread,patient,1.0,-1.9518814733333336,1.0,-2.440527683333334,1.0,-0.4985815866666666,0.3333333333333333,0.015625,1.0,-1.8802083333333333,0.0,0.3212432861328125,1.0,-1.3336181640625,1.0,-5.729713872333334,1.0,-1.3028430666666668,1.0,-15.123701616533332,1.0,-2.558369897305965,1.0,-2.3905191297332444,1.0,-0.3958333333333333,1.0,-9.166195463566666,1.0,-0.1130990982055663,1.0,-5.125490498133334,1.0,-3.345332886333333,0.3333333333333333,0.125
broadcaster,agent,0.0,-0.56267643,0.0,-2.205843773,1.0,6.8091206384,0.0,-0.0546875,0.0,-1.50006103515625,1.0,1.687622055411339,0.0,-0.8746337890625,0.0,-1.88656903,0.0,-0.685165515,1.0,14.2042547355,0.0,-1.3740157932043076,0.0,-2.08494183793664,1.0,0.531494140625,0.5,-0.2322826249999999,1.0,0.1159777641296386,0.0,-2.2212967875,0.0,-3.602918679,1.0,0.6563720703125
building,patient,1.0,-1.6854149,1.0,-1.800816805,0.0,3.168775101,0.0,0.140625,1.0,-2.430450439453125,0.0,0.79693703353405,0.0,0.25,1.0,-3.025735275,1.0,-1.02544589,1.0,-16.949316768499997,1.0,-1.0742741078138351,1.0,-2.4938921444118023,0.0,0.640380859375,0.5,-0.6636921499999999,1.0,-0.5421729087829591,1.0,-1.85371741,1.0,-0.842352925,0.0,0.140625
bus,patient,1.0,-1.8517330233333336,1.0,-2.04595319,0.0,5.082029295533333,0.0,0.234375,1.0,-1.82763671875,0.0,0.4358444015185037,1.0,-0.4999186197916667,1.0,-4.530480500333333,1.0,-1.1267630066666667,0.0,13.100381255986669,1.0,-2.329650883873304,1.0,-2.1703965117534003,1.0,-0.0625,1.0,-1.94569458,0.3333333333333333,0.4533488055070241,1.0,-3.2669758973333334,1.0,-1.6275099666666666,0.0,0.1354166666666666
busboy,agent,0.0,-1.147744732,0.0,-1.9739157740000004,1.0,6.67653128398,0.2,-0.175,0.0,-1.3218017578125,1.0,0.5913238525390625,0.0,-1.0501953125,0.0,-3.514388012,0.0,-0.92836536,1.0,12.7049021267,0.0,-2.808926425874233,0.0,-1.7247426986694336,1.0,0.424951171875,0.4,-0.302367816,1.0,1.26337374150753,0.0,-2.835110195,0.0,-3.3720767706,0.8,0.153125
businessman,agent,0.0,-0.6364570333333334,0.0,-1.3796554066666669,1.0,10.419057306433332,1.0,0.5523274739583334,0.0,-0.9635416666666666,1.0,1.1210225423177085,0.0,-0.7495930989583334,1.0,1.7543184,0.0,-1.0826047433333337,1.0,15.224563124613336,0.0,-0.9617716073989868,0.0,-1.3986396839221318,1.0,0.2395833333333333,1.0,1.0218600999999998,1.0,1.6782712936401367,0.0,-1.9923456333333331,0.0,-0.9909114733333334,1.0,0.7657063802083334
businesswoman,agent,1.0,0.2755517999999999,0.0,-1.59190117,1.0,9.835968400266664,1.0,0.3697916666666667,0.0,-0.9478352864583334,1.0,1.6680908103783925,0.0,-0.8335774739583334,0.0,-1.358070296666667,0.0,-0.7549559833333334,1.0,15.344685571166666,0.0,-1.3596394956111908,0.0,-1.4898013720909755,1.0,0.46875,0.0,-2.551195733333333,1.0,1.3427467743555703,0.0,-1.8761722833333332,0.0,-2.09560337,1.0,0.5780436197916666
butcher,agent,0.5,0.2950566725,0.0,-2.054207705,1.0,8.8182510912,0.0,-0.32421875,0.0,-1.33587646484375,1.0,0.2346820831298828,0.0,-1.187408447265625,0.0,-4.509704167500001,0.0,-0.8171314925,1.0,14.33964590235,0.0,-1.6703147888183594,0.0,-2.07651755400002,0.5,0.046875,1.0,1.32655249,0.75,0.3688385635614395,0.0,-2.5519348275,0.0,-3.4263340172500003,1.0,0.39447021484375
cake,patient,1.0,-2.3549045886666664,1.0,-2.5453542866666665,1.0,-1.089166,1.0,-0.3072916666666667,1.0,-2.0467529296875,0.0,0.5101318359375,1.0,-1.4999186197916667,1.0,-5.969645511,1.0,-1.6163120399999995,1.0,-11.048420079316664,1.0,-2.7081552917758622,1.0,-2.7206236521402998,1.0,-0.6875,1.0,-8.34521991026,1.0,-0.5558554033438365,1.0,-5.795646636433332,1.0,-3.894721729333334,0.3333333333333333,0.171875
cameraman,agent,0.0,-0.3780074,0.0,-1.772205385,1.0,11.24058859235,1.0,0.0859375,0.0,-1.0389404296875,1.0,1.836097702383995,0.5,-0.125,0.0,-2.837232505,0.0,-0.58083145,1.0,13.50674653095,0.0,-1.824440024793148,0.0,-2.563208617269993,1.0,0.5782470703125,1.0,0.44516035,1.0,1.057997226715088,0.0,-1.912344765,0.0,-3.616841545,1.0,0.5390625
camper,agent,0.0,-2.1511644225,0.0,-2.0153665,0.5,-0.07268792,1.0,0.1171875,0.0,-1.5233154296875,1.0,1.3886337131261826,0.0,-1.249755859375,0.0,-3.740859841,0.0,-1.054006505,1.0,8.06587816535,0.0,-1.60588076710701,0.0,-2.1469521932303905,0.0,-0.15625,0.5,-0.8674500850000001,0.5,0.0848345756530761,0.0,-3.0374918515,0.0,-3.490407783,1.0,0.1328125
canvas,patient,1.0,-2.24282354125,1.0,-2.53828428875,0.25,1.5275328620000002,0.0,0.15234375,1.0,-1.91796875,0.0,0.3848476260900497,1.0,-1.37481689453125,1.0,-5.82673479775,1.0,-1.1978606575,1.0,-13.6600612549825,1.0,-2.308933239430189,1.0,-2.7618622547015548,1.0,-0.8829345703125,1.0,-7.056633085475,1.0,-1.5534784942865372,1.0,-3.5110818102500003,1.0,-3.14390435225,0.25,0.22265625
captain,agent,0.3333333333333333,-0.2942591,0.0,-1.0409876333333334,1.0,8.607548025333331,1.0,1.1924641927083333,0.0,-1.1146647135416667,1.0,1.8724771738052368,0.0,-1.249755859375,0.0,-3.290204842,0.0,-0.7950777166666666,1.0,15.292532002033331,0.0,-0.6829070746898651,0.0,-1.4867226382096608,1.0,0.375,0.6666666666666666,0.7756334333333333,0.6666666666666666,0.2505823969841003,0.0,-2.10244855,0.0,-2.4595927566666664,1.0,0.5831705729166666
car,patient,1.0,-1.3459646275,1.0,-2.066730970833333,0.0833333333333333,2.888938150416667,0.0,0.45697021484375,1.0,-2.1470133463541665,0.5,0.3885059307018916,1.0,-0.4582722981770833,1.0,-4.0465243265833335,1.0,-0.9707006008333332,0.75,-6.285352373127499,1.0,-1.5774904936552048,1.0,-1.9209794451793036,1.0,-0.3854166666666667,0.1666666666666666,1.048456455,0.25,0.4507294595241546,1.0,-3.480633293916666,1.0,-1.28750684,0.0833333333333333,0.28515625
cardboard,patient,1.0,-1.1440357675,1.0,-2.1803028865000003,0.0,3.34554050575,1.0,-0.08203125,1.0,-1.72662353515625,0.0,0.5123786926269531,1.0,-1.1875,1.0,-5.21038452575,1.0,-1.2717962049999998,1.0,-9.800891357915,1.0,-3.2829017750918865,1.0,-1.9855783134698868,1.0,-0.7889404296875,1.0,-3.9565584045,1.0,-1.1394236274063587,1.0,-3.4724774625,1.0,-3.25884952425,0.0,0.3477783203125
carpet,patient,1.0,-1.8168489633333336,1.0,-2.298441413333333,0.0,3.0045388013333336,0.3333333333333333,0.0104166666666666,1.0,-1.9952392578125,0.0,1.7861200819412868,1.0,-1.1664225260416667,1.0,-3.850831486666667,1.0,-1.1450138033333332,1.0,-17.400723900933333,1.0,-2.619191477696101,1.0,-2.2420046279827752,1.0,-0.7705891927083334,1.0,-3.1743947796666667,1.0,-0.5726241668065389,1.0,-3.974435924,1.0,-1.9001781653333327,0.0,0.2864583333333333
carver,agent,0.7142857142857143,0.3128981899999999,0.0,-1.9226526657142853,1.0,9.272265929071429,0.0,-0.4084123883928571,0.0,-1.6251220703125,1.0,0.8834533563682011,0.0,-0.8929268973214286,0.0,-4.400468768142857,0.0,-0.78272769,1.0,16.03869417630143,0.0,-1.0382505059242249,0.0,-2.112748992230211,0.4285714285714285,-0.0223214285714285,0.0,-3.197626609285714,1.0,0.3840502287660326,0.0,-3.0401036168571425,0.0,-3.4927420422857147,1.0,0.5960867745535714
caterer,agent,0.0,-0.9080812333333332,0.0,-1.944351743333333,1.0,4.111526255666667,0.0,-0.2395833333333333,0.0,-1.1456705729166667,1.0,1.7391154517730076,0.0,-1.500244140625,0.0,-4.324466238,0.0,-0.98514849,1.0,14.033498722866668,0.0,-1.4747772018114726,0.0,-2.0398229037721958,0.6666666666666666,0.0416666666666666,0.0,-5.4161139771,1.0,1.1311435798803966,0.0,-2.954294729333333,0.0,-3.6573785116666655,0.6666666666666666,0.234375
cd,patient,1.0,-2.309298318,1.0,-2.1120292666666667,0.0,2.50865337,0.6666666666666666,-0.0572916666666666,1.0,-2.031005859375,0.0,0.3864034016927083,1.0,-1.0830891927083333,1.0,-4.991169898,1.0,-1.080949816666667,1.0,-17.127799211533333,1.0,-2.792549113432567,1.0,-1.811230336626371,1.0,-0.5834147135416666,1.0,-4.811640804666667,0.0,0.4434820711612701,1.0,-3.145143996333333,1.0,-1.8848669866666663,0.0,0.36962890625
cellist,agent,0.5,-0.26189624,0.0,-2.02504832,1.0,4.3151154387,0.0,-0.2890625,0.0,-1.57818603515625,1.0,0.4481964111328124,0.0,-1.375244140625,0.0,-7.2346508585,0.0,-0.44079592,1.0,15.31832521,0.0,-1.3789825588464737,0.0,-1.709684371948242,1.0,0.328125,0.0,-5.195292624,0.0,-0.2906489372253417,0.0,-2.8991089465,0.0,-3.9905382095,1.0,0.5233154296875
cello,patient,1.0,-0.8482189499999999,1.0,-2.54659828,0.0,2.4797777965,1.0,-0.3984375,1.0,-1.70318603515625,0.0,0.3808708190917969,1.0,-1.62530517578125,1.0,-7.576003163999999,1.0,-0.6134071350000001,0.0,1.58780556,1.0,-3.091415405273437,1.0,-1.89022733271122,1.0,-0.34375,1.0,-6.5722033953,1.0,-1.3840002417564392,1.0,-2.928835625,1.0,-2.920702422,0.0,0.429931640625
chauffeur,agent,0.0,-0.5499511666666667,0.0,-1.4052199666666667,1.0,10.090091354833332,1.0,0.3125,0.0,-1.177490234375,1.0,1.3211161494255066,0.0,-0.3333333333333333,0.0,-3.0352060733333333,0.0,-0.98595167,1.0,15.480983591366666,0.0,-0.5813954869906107,0.0,-1.8112369825442631,1.0,0.5310872395833334,0.6666666666666666,0.84884357,1.0,1.0393180747826891,0.0,-2.471842833333333,0.0,-1.3209889766666665,1.0,0.588623046875
chef,agent,0.5,-0.1135816069999999,0.0,-1.694120126,1.0,6.970801659840001,0.2,-0.09375,0.0,-1.49227294921875,1.0,1.3238967955112455,0.0,-1.024951171875,0.0,-4.484799532000001,0.0,-0.5525004899999999,1.0,15.003883384446002,0.0,-1.7068115159869195,0.0,-1.9069098569452765,0.9,0.240625,0.0,-2.7880450345,1.0,1.2305704072117805,0.0,-2.4655497357,0.0,-3.5252473517,0.7,0.3093505859375
choreography,patient,1.0,-1.15923453,1.0,-1.99725918,0.0,2.57169757,1.0,-0.390625,1.0,-1.4532470703125,0.0,0.2615393996238706,1.0,-1.4998779296875,1.0,-3.919547797,1.0,-0.8290729000000001,0.0,7.120658895299999,1.0,-1.0153274536132812,1.0,-1.7986821830272672,0.0,0.3125,0.0,1.97672475,0.0,0.5999069213867188,1.0,-2.24871703,1.0,-0.77162946,0.0,0.15625
clarinet,patient,1.0,-1.149272505,1.0,-2.52064877,0.0,3.0792874425,1.0,-0.34375,1.0,-1.2886962890625,0.0,1.009021744132042,1.0,-1.37530517578125,1.0,-6.150674281,1.0,-0.5795841399999999,0.0,3.514060225,1.0,-3.1921005100011826,1.0,-2.225038059055805,1.0,-0.078125,1.0,-6.84895488825,1.0,-1.138806864619255,1.0,-2.6257141225,1.0,-3.6260598975,0.0,0.664306640625
clarinetist,agent,0.0,-0.2982275049999999,0.0,-1.9409427800000003,1.0,7.94065511275,0.0,-0.296875,0.0,-0.7578125,1.0,1.141742706298828,0.0,-1.125,0.0,-4.556901549999999,0.0,-0.4467677849999999,1.0,14.4735757092,0.0,-1.2860030680894852,0.0,-1.980265133082867,1.0,0.7032470703125,0.0,-2.5252451035,0.0,-0.2985310554504394,0.0,-2.433463108,0.0,-3.8348531,1.0,0.695556640625
clay,patient,1.0,-2.0506607916666666,1.0,-2.709479748333333,0.1666666666666666,1.1387227565,0.3333333333333333,0.0989583333333333,1.0,-1.6769205729166667,0.0,0.439959188302358,1.0,-1.7500813802083333,1.0,-4.485868533666667,1.0,-1.291767033333333,0.5,-7.234972609001666,1.0,-2.4662882424890995,1.0,-2.6482440320154037,1.0,-0.8543294270833334,1.0,-8.551337959553333,1.0,-0.9997032433748244,1.0,-4.522946542666667,1.0,-3.649893543333334,0.0,0.46875
cleaner,agent,0.2,-0.4388930220000001,0.0,-2.308083698,1.0,8.77919764124,1.0,0.25625,0.0,-1.731005859375,1.0,1.1409606754779815,0.0,-0.949951171875,0.0,-1.877086006,0.0,-0.981005908,1.0,14.71771119092,0.0,-1.9549437880516047,0.0,-1.3899730682373046,1.0,0.643798828125,1.0,2.2384102940000004,0.2,-0.1440105319023131,0.0,-2.6667436007999994,0.0,-2.198405558,1.0,0.459375
clerk,agent,0.0,-1.105525025,0.0,-1.766322985,1.0,5.780351990450001,0.0,-0.25,0.0,-1.64849853515625,1.0,1.1399727165699003,0.0,-1.37493896484375,0.0,-2.692666995,0.0,-0.8185918999999999,1.0,13.079598938735,0.0,-0.4334030151367187,0.0,-1.8415121734142308,0.5,-0.046875,0.5,0.0734453249999999,0.5,0.2209162414073944,0.0,-3.1949035415,0.0,-3.5720970865000004,1.0,0.484375
cloth,patient,1.0,-1.8038102125,1.0,-2.673091355625,0.25,0.8334359039999999,1.0,-0.234344482421875,1.0,-2.142547607421875,0.875,-0.1490697786211967,1.0,-1.40625,1.0,-5.200311904,1.0,-0.98107926625,1.0,-16.008387753736248,1.0,-2.158760065212846,1.0,-2.3862128257751465,1.0,-0.785125732421875,1.0,-6.2282959940125,1.0,-0.6186321899294853,1.0,-3.854829791125,1.0,-2.73083634425,0.25,0.334014892578125
coat,patient,1.0,-2.43843426,1.0,-2.6903732920000003,0.0,1.472851295,1.0,-0.09375,1.0,-2.03973388671875,0.0,1.1632194817066193,1.0,-1.49981689453125,1.0,-5.29030972,1.0,-1.14846992,1.0,-16.84570568215,1.0,-1.458877593278885,1.0,-2.5893034860491757,1.0,-0.9532470703125,1.0,-4.139788126,1.0,-2.235868465155363,1.0,-3.4771768410000004,1.0,-2.3999041525,0.0,0.476806640625
